plntid;binary;plntmass;plntradius;period;smaxis;plnttemp;plntage;discmeth;discyear;ra;dec;distsun;strmass;strradius;strmetal;strtemp;strage;inhabitzone
Kepler-59 b;0;0,003828;0,100243;11,8681707;0,100516092663954;NA;NA;transit;2012;287,0375;46,6338888888889;811,89;1,04;0,94;NA;6074;NA;FALSE
Kepler-59 c;0;0,012848;0,180438;17,9801235;0,132589211804931;NA;NA;transit;2012;287,0375;46,6338888888889;811,89;1,04;0,94;NA;6074;NA;FALSE
Kepler-342 b;0;NA;0,20504;15,170318;0,119946425839838;NA;NA;transit;2014;292,675;46,7175;807,28;NA;1,472;NA;6175;NA;FALSE
Kepler-342 d;0;NA;0,22691;39,459357;0,226859789300692;NA;NA;transit;2014;292,675;46,7175;807,28;NA;1,472;NA;6175;NA;FALSE
Kepler-342 c;0;NA;0,17862;26,234138;0,172809940576446;NA;NA;transit;2014;292,675;46,7175;807,28;NA;1,472;NA;6175;NA;FALSE
HD 171028 b;0;1,98;NA;550;1,32;296,2;NA;RV;2007;278,0625;6,93444444444444;90;0,99;1,95;-0,49;5663;NA;TRUE
HAT-P-33 b;1;0,763;1,827;3,474474;0,0503;1675,2;NA;transit;2011;113,183333333333;33,8333333333333;387;1,403;1,777;0,05;6446;NA;FALSE
Kepler-121 b;0;NA;0,21324;3,177422;0,0445016792537609;NA;NA;transit;2014;286,158333333333;39,6677777777778;583,6;0,859;0,701;NA;5311;NA;FALSE
Kepler-121 c;0;NA;0,20687;41,008011;0,244853098385675;NA;NA;transit;2014;286,158333333333;39,6677777777778;583,6;0,859;0,701;NA;5311;NA;FALSE
Kepler-258 b;0;NA;0,36999;13,19722;0,123106167924563;NA;NA;transit;2014;294,066666666667;46,5677777777778;836,13;0,7;0,915;NA;4942;NA;FALSE
Kepler-258 c;0;NA;0,32898;33,653079;0,229777788385825;NA;NA;transit;2014;294,066666666667;46,5677777777778;836,13;0,7;0,915;NA;4942;NA;FALSE
WASP-57 b;0;0,672;0,916;2,838971;0,0386;1251;NA;transit;2011;223,816666666667;-2,05055555555556;455;1,01;1,32;NA;5600;NA;FALSE
WASP-52 b;0;0,46;1,27;1,7497798;0,029771910395109;1315;NA;transit;2011;348,495833333333;8,75111111111111;140;0,87;0,79;0,03;5000;NA;FALSE
Kepler-343 b;0;NA;0,21962;8,96855;0,0844900714720037;NA;NA;transit;2014;291,958333333333;42,4180555555556;1091,93;NA;1,433;NA;5807;NA;FALSE
Kepler-343 c;0;NA;0,18408;23,22182;0,159314397186411;NA;NA;transit;2014;291,958333333333;42,4180555555556;1091,93;NA;1,433;NA;5807;NA;FALSE
HD 1605 b;0;0,96;NA;577,9;1,48;NA;NA;RV;2015;5,131328;30,9748041111111;84,6;1,31;3,8;0,21;4757;4,59;TRUE
HD 1605 c;0;3,48;NA;2111;3,52;NA;NA;RV;2015;5,131328;30,9748041111111;84,6;1,31;3,8;0,21;4757;4,59;TRUE
HD 40307 b;0;0,01258;NA;4,3123;0,0468;804,5;NA;RV;2008;88,5166666666667;-60,0172222222222;12,8;0,77;NA;-0,31;4977;NA;FALSE
HD 40307 c;0;0,020761624;NA;9,6184;0,0799;617,1;NA;RV;2008;88,5166666666667;-60,0172222222222;12,8;0,77;NA;-0,31;4977;NA;FALSE
HD 40307 d;0;0,029884156;NA;20,432;0,1321;479,9;NA;RV;2008;88,5166666666667;-60,0172222222222;12,8;0,77;NA;-0,31;4977;NA;FALSE
HD 40307 e;0;0,0110099;NA;34,62;0,1886;401,2;NA;RV;2008;88,5166666666667;-60,0172222222222;12,8;0,77;NA;-0,31;4977;NA;FALSE
HD 40307 f;0;0,01635764;NA;51,76;0,247;351,1;NA;RV;2008;88,5166666666667;-60,0172222222222;12,8;0,77;NA;-0,31;4977;NA;FALSE
HD 40307 g;0;0,02233447;NA;197,8;0,6;224;NA;RV;2008;88,5166666666667;-60,0172222222222;12,8;0,77;NA;-0,31;4977;NA;TRUE
HD 45184 b;0;0,04;NA;5,8872;0,0638;1045,8;NA;RV;2011;96,1833333333333;-28,7677777777778;21,9;NA;NA;NA;5940;NA;FALSE
